"Username","Comment"
"Sir Nico","Ang galing naman ng presentation nito..."
"Norman Jimenez","Mahusay ang tagapagbalita!"
"Eliza Co","Di lang s pilipinas  ang inflation.. At mas lalo pa sa ibang bansa  gawa  ng  ng hahnda  cla  na iimbak  ng pagkain dhil  patuloy  ang pagtaas  ng mga  bilihin ..
Hirap  mg budget  tpos  baba  p ng  sahod..."
"JPGR rommel","Ito ang tunay na explanation hindi yun sa anak ni Ano na sabi the peso is weak coz the dollar is strong."
"the unknown channel","Ganda ng graphics ng tv Patrol. Pansin ko lang nag improve ah"
"Maharlika Bebz","In fairness abscbn you gave pros and cons.."
"Alex Pares","Napasama pa sa econimiya ang pagka panalo ni bbm,dhil wlang tiwala ang foreign investor sa knya,pero my unity nmn kya khit magutom ok lng"
"Lexzy","Diosko di lang sa pinas halos sa buong Mundo ngaun.....nag mahal lahat nang bilihin."
"YT","Maganda ang explanation, graphics, pero halata paring kinakabahan ang presentor, andaming dead airs, hindi pa masyado sanay kaya parang ang awkward din sa manonood"
"EdzM2431","Yung mga naninisi kay PBBM sa inflation, ang galing  ng explanation simpleng intidinhin . Ano bang ginagawa ni PBBM trying to get investors..palawakin  ang pag iisip  hindi puro hate"
"Febian Namo","Dito  sa uk at london norway ganon din halos lahat ganon talaga burger dito burger 10 pound tortang talong 9pound"
"Ang Hee Loo","Mas pabor ako sa pagtaas ng piso.. Habang tumataas ang bilihin taas din ang halaga ng piso. Pabor sa pinas yan."
"lorenzTV","Naku d lng po s pnas mataas bilhin lhat. FYI dto po sa saudi ang taas din ng bilihin ngsimula noong mgkaroon ng gulo sa Russia at kalabang nilang bansa... kaya icip icip din pg my time... tau lng ba s pnas or global crisis?... imulat ang mata at makinig din ng balita sa iba...lamang ang my alm.. ofw at KSA mabuhay po tayong lahat..."
"jake emboltorio","PBBM ang 20 n kilo ng bigas saan n.55 kilos n d2 sa amin."
"xckiel14","musta na kaya yung gagawin daw 20 pesos yung bigas hahahaha daming nabudol isa na ako"
"matt","dollar"
"Vida","Euro ang gamitin tutal puede naman"
"Armando Flores","Weeeh! Di nga!"
"Gdhghg Bb xgdgx","Eh di magtipid kanalang"
"PETER PAN","WATCHED ABS CBN IWANT TFC APPS"
"Cesar Ramirez","Pasado"
"Boy Kulet","Npapansin ko yan kahit sa mga mall.,,,biglaan kumunti ang empleyado…Golden Age Era na..,"
"K Arc","asan na yong masasaya dahil mataas ang palitan ng dollar? "
"Achmeed Moham","Tamad lang talaga ang ibang Pilipino na mag hanap ng trabaho andaming bakanting na  pweding aplyan na trabaho ngayon kahit mababa ang salary but for temporary gusto kasi ng iba manager agad eh mataas man o mababa ang pinag aralan is not a question kung masipag ka lang talaga darating din yung tama for you.."
"Randy Booc","Malapit na dumating na may mga kaya nlng sa buhay ang makaka kain ng baboy manok..ung mga mahihirap..kht galunggong manghihinayang na bumili sa subrang mahal..sana all mayaman"
"Analie Cortez","Question Ano ba ang basis ng unemployment rate? Fact lang ba yan? Kasi pano ung mga self employed like vendor sa palengke, may gotohan or ihaw ihaw sa kanto or mga online seller at Ang dami dami content creator?"
"Nobody!","GOOD JOB 31M. TALINO NIO. KAYO DIN UNANG MASASAPOL NG KABOBOHAN NIO."
"Chona Aquit","Mas lalo pang dumadaming nagugutoman ngaun."
"Cat","Sige pa, tangol pa mga tagobo kahit nagdidildil nalang kayo ng asin "
"Rey Millada Tv","ang mahal kasi ang gas"
"Kadawi Fishing","Sino ba nman ganahan magtrabaho kung end of contract Lang pag tapos Ng 6 months ...walang nagreregular tapos mag aapply  high school graduate ayaw tanggapin Kase highschool graduate. Ang nman  hinahanap college graduate pag college graduate kna man Ang hinahanap experience kaya ka nga nag aapply para makakuha Ng experience ...taas Ng standard pero Ang salary pakababa tapos laki pa Ng mga kaltas ."
"Miko Xmas","Golden Era yarn "
"NONITO LIM","UNITY!!"
"Ramon Cos","wag na dapat bigyan ung31m
me tallano gold naman daw at ayuda"
"Steel Man","Yung iba nagtitinda Kala niyo unemployment kasii Wala kayong Nauutot sa tax at Mga sss pgibig phlhealth"
"Cool Rain","Unity pa rin"
"Erwin B.","Bet if an Aquino is on power right now and inflation is high ..this station will focus on other things... They really deserve what happened to them.."
"Joven","Its good that the admin is proactive on issues like this. Thanks for the information. Always a good  way to clear any uncertainties/questions for the filipino people!"
"Love My","The problem is the average figure does not show the current and projected impact of inflation on the purchasing power of Filipinos to buy their basic needs. Paano pa kung tumaas pa yan? Ano na ang mabibili with one’s meagre salary? Knowing the average inflation rate for half a year is not the best figure to work with in addressing a pressing problem. Saka ano po ba ang ibig sabihin ng “imported inflation?” If he means it is caused by problems outside the country and not generated by local issues, e problema pa rin yun. We live in a globalized world—we cannot shield ourselves from external impacts. But we need to know how these impacts can be mitigated—so what’s the plan?"
"ALEC CLIFFORD GARCIA","Hindi fuel subsidy ang kailangan namin kundi pababain ang presyo ng gasolina mas ok pa"
"Milhouse","Apparently, BBM (who is a high school graduate with no expertise in statistics) thinks he knows better than top statisticians from Philippine Statistics Authority."
"Annabelle Viernes","worldwide po problema ang inflation rate"
"Jan Fore",""
"Rose Layola","Kahit dito sa kuwait mataas din ang bilihin, pati gasoline tumaas din."
"Jake Omar","d na mahinto hinto covid covid nila."
"Llwyd Antonius","Ako rin di sang ayon 
PBBM"
"Tobi del Rosario","Di sya naniniwala sa number na yan DAHIL WE ARE ON THE GOLDEN ERA"
"Bel Abarr","of course, you cant make your own numbers hehehe, what else is new?"
"AudreyLiz Sahilan","Ako hindi pman tpos ang termino nla Pres.Marcos At V.P Sara Duterte wish ko ngayon na ma Voto uli cla sa ika pngalawang termino pra mas mapa unlad nla lalo ang Maharlikan Country kulang ang six year terms pra maisaayos lahat ng mraming problema ng pinas na nanggaling sa mga naunang mga pangulo At administrasyon wla akong Nkta na mgawa ito sa mga susunod na maging President or V.Presidente sa susunod na eleksyon sana ang Mga Maharlikan people maisaisip ito at maliwanagan sa mga ngyayari sa ating bnsa!"
"Love My","Bagong cabinet member ng Department of Explanation and Interpretation?"
"Ϫ","Yan ang mahirap kapag hindi iniintindi ang DATA! Well, malinaw naman yung kanyang pahayag na hindi sya naniniwala sa inflation eh! No wonder tama yung sinabi ng kanyang tutor. Kapag may ganyang mindset. Di nakakapagtaka na papunta tayo sa worst govt. ever! Even he doesn't know that his father share the same fate. Mataas ang inflation!"
"Lady Mangindo","Huwag munang awayin si Junior my labs, give him time to do his job. Don't get me wrong, I didn't vote for him but I do respect his position."
"eaj","Grabe yung isa tinawag na lugaw eto naman parang lutangs."
"marvel stark","apologist narin pa la ngayon si diokno.  anyway, but in the full clip, its very a clear that marcos jr. is responding on the june inflation. so clearly he dosnt understand the context which a clear indication of a weakness. and also, what kind of govt who are using the average figure for the inflation rate. every govt uses the current rate as reference to deal with the problem."
"Girlie Girlie","Dto rin japan tumaas ang mga bilihn,d lng jan japan,kaya un iba jan wag isisi sa president."
"luna","PSA is not accurate."
"poging bagsik","marcos na naman? wala ba man lang Pangulong Marcos???
kaya kayo napapasara eh "
"Love My","Isn't this the guy who failed Economics in school?"
"buffylovien","ABSCBN…PLEASE Have some RESPECT…call him President or Pangulong Marcos AT AL TIMES…ALWAYS AND ALWAYS!"
"Shar_X","Bias KC Ang abs cbn"
"Flameeyes","We want to hear it! Isisi nyo na ki PBBM! Lol"
"Thomas Manning","Always understand that ""inflation"" is a reduction in the spending power of your currency. This simply gives the illusion that :prices' are rising. It is not so much a problem of businesses charging more, which of course they must. The problem lies with fiat currency. In the history of the world each and every fiat currency, without exception, has failed. Today virtually all currencies are unbacked (fiat). They are backed only by the strength and responsibility of the issuing government. Yes, governments ARE responsible for inflation"
"Flameeyes","Kasalanan na yan ni PBBM nu rappler? Loll"
"i suck","2 joints yung video"
"Lady Aira Feliciano","hahaha dilawan ka"
"Dr Egg","Great prediction from a economist. Inflation rate right now is beyond repair"
"KenKen","The Philippines central bank has always been very safe in the way they set up and takes measures"
"Sujith Kumar Reddy","I got a feeling when I see recovery from economic crisis, what is the recovery, is it earning sufficient money for certain period of time(calculated with normal earnings of the period) all of sudden economic crisis happens for many reasons though in straight forward lack of sufficient amount of money to maintain country sustainable growth and to met with global GDP levels I feel, due to inflation there were chances to meet treasury funds to normal may be there will be less inflation rate after recovery or if it continues there should be of funds left can invest other sectors of development."
"Steel53","Honestly I don't think Covid is gonna be 100% over for a few years with how things are going"
"Fingers Crossed","Honesty from the Philippines"
"Richard Keller","Why is it ok to keep drug prices high if there is inflation?  Because it has nothing to do with inflation.  It has to do with top 1% sending out lobbyists to make sure they don’t pay more taxes.  They must be sending lobbyists to news channels too."
"EatClenTrenHard AnavarGiveup","Listen, Man United might not thank me but get the contract out, put it on the table. Let him sign it, let him write whatever numbers he wants to put on there, given what he's done since he's come in. Ole's at the wheel, man. He's doing it. He's doing his thing. MAN UNITED ARE BACK!!!!"
"VidWatcher1X","I know these are probably hard statistics to track, but how many people have died due to economic issues versus died by COVID-19 since COVID-19 hit?
I know some of the COVID-19 deaths may be linked to COVID-19, but still, I have the feeling that COVID-19 has killed far more people than the number of people that died of economic reasons caused by COVID-19."
"Steve Parker","Someone once wrote ""I think we should keep using a failed system with resource mismanagement as its key component until we have a few incredibly rich deities and 99.9% of people live in absolute poverty..."", it was me, a few moments ago, and yet it was filtered..."
"tizmon","The price increase in my area in central Philippines seems like 200% since the pandemic. A hole roast chicken costing 140 pesos now over 280. The food price increase is across the board got to be at least 30%. 
We know Philippines international trade deficit is 5 billion USD February 2022. That’s over 250 billion pesos that month alone. Well over 2,000 pesos per each Philippines citizens in one month. "
"asperneto","I think inflation is worse in 1st world countries bec, in this holiday season, many want to spend but the goods are scarce due to supply chain issues. In 3rd world, spending is  not as much but inflation is more mangeable."
"Greenpoloboy3","Why are even England's banks not rising interest rates? They are rock bottom and they even make it seem like such a bad thing to raise them to a level which is still so low historically."
"oilver dowler","Yes may be a young population, but ten million of them are overseas working abroad, mass exports of labourers."
"Roland Taimanglo","Out of the gate, he states that inflation is because of high prices of foods.  I always thought that it the other way around. "
"B C P","philliphins people very nice love from india"
"HS LIBRARY","Well i think the international monetary fund should undergo a caucus regarding the implementing loans or free laon without interest. Phillippines can roll the existing and remaining resources due to covid crisis, prior to this you could check and balance prior to the strategic liabilities during pandemic began around the world. The phillipines stock exchange flow down to the main stream during pandemic and what the IMF should do is to remain constant of every countries that was ties their bond on the IMF. understanding the facts that more relevant solution should intensify rather than giving donation which will endulge them to be more parasite as individuals....facts or fiction"
"iwo gajda","""For the sake of His sorrowful Passion have mercy on us and on the whole world.""       (from the Diary of Saint Faustina Kowalska; 474-476)"
"Roland Taimanglo","It just seems evident that all the promising economic current and future statements don't reflect what's on the ground.  Just say."
"MA63","COVID’s slowly growing, compounding by the numbers everyday forever and mutating. If you let us grow for 10 years. I can’t even imagine…"
"AlphaPhiChuFafi Onse","We have God's economy"
"ledpup","Most important issue is not inflation or unemployment. For the next 100 years (probably far, far longer), it's climate change and the environment."
"Mole Js","World cooperation is most important,China is the key .If the presidents want to help their countries.Leave of the politic , especially the influence from USA,if only if the world work together against the covid pandemic instead of pointing finger &hauling vaccine distribution ,lesser people would die,look at the fact & figure US has 730,000 dead ,now even with vaccination ,still has 1000dead a day in current week ."
"Rod1892","Inflation is not welcomed, nor it is not entertained, as inflation comes from the excesses, the massive abuse, abusers, not accounting every detail of the inventory, designed to protect the economy from losses in GDP, inflation and all high prices. This is not new, the only answers for all of them is to account every detail, REGULATION, and apply the Businesses standards, designed to ERADICATE, REMOVE INFLATION in OUR SYSTEM, for them all to be realized and be safe, orderly, as well as distributed in accordance to INVENTORIES, TAXES-PROTECTION from LAUNDERED,  Counterfeit, fake and Fraudulent CASH/AID/and AMOUNTS."
"Mark Lester Gamayon","I like backhome inflation is not high as here abroad"
"Rachael Gordove","It's what you get when you let IATF decide."
"kovalsky","Now inflation is rising in every country in the world.  The coronavirus showed how unsustainable world economic growth was.  In 2022, several countries in the world will enter into stagflation."
"Raju Podian","Conditional offer!"
"BANE'S TV","Some of us knew this since March 2020. 
All done on purpose."
"Albert Teng","If only oil prices can be more manageable and supply chain stabilized then the world wouldnt be grappling with problem of inflation.  Our inflation rate right now is still within target of 4-5% though we wish it could be lower since there is no salary increase. Maybe we can compensate by getting extra job or selling online. Either way we here in the phils expect the economy to go back up next year especially with covid now under control, as of today we only had 879 daily new cases down from 26k last late sept. People are also up and about with Christmas shopping now ongoing. Malls are filled with people once again. We believe our 7.1% gdp growth in the 3rd quarter although down from 12% last 2nd quarter can be easily eclipsed in the fourth. And next year being election year, there will be a lot of election spending so more money going around, more jobs created, then there are still the many big ticket infra projects ongoing like the subway and rail systems. Then tourism is also starting to opening up again. So i believe next year will be a very good year. The only thing that could derail economic growth will be another covid surge or oil hitting more than $100"
"Hoober Doober","Inflation Day is everyday! Someone should tell President Ponce."
"George Qua","aged well"
"Craig The Brute","The Fed: don’t worry guys, we will print another trillion dollars, that should fix things! We all gonna be trillionaires!"
"AlpsTV","People should prepared."
"Froge","100% correct"
"Mark Lester Gamayon","Here the inflation is beyond 6.8 percent to 7%"
"Lawrence Anthony","I'm leaving the UK if this crap continues much longer guys"
"avarmauk","Soon I can buy a sandwich in exchange for my soul"
"Aurobindo Ghosh","bbc, deflate prices"
"Dan Arthur","covid and global warming is a serious warning for us to slow down on technology advancement and pay more attention on agriculture"
"Mahadzir Abd karim","inflasion build by polotision"
"B'o'oaks","Let me guess, Filipinos protest again"
"Fred Mucio","People are dying hunger WW3"
"Stuart Gould","Roasted asparagus and a rib eye steak for dinner."
"Fred Mucio","CDC don't know what they're doing lockdown and all the shit"
"Marc Paz","poor governance and public administration of the current gov’t ?"
"maorecio rebute","the land of ophir..kaya hindi tayo pinabayaan ni god...."
"JJ","We all knew 
It’s not news"
"Paul Gray","It's all due to BREXIT, least that's what I was told by somebody as they stocked up on tofu and avocado's in Harrods the other day.

:-)."
"IsraelDiegoRivera Genius2 The real Genius","No to discriminatory vaccine passports and mandates, utter disgrace. Do not comply."
"kick Ass","It's your fault, u print a lot of money...."
"Mariusz Hope","Jesus Christ is the Way, the Truth, the Life. No one comes to the Father except through Him. There is no other intermediary. May Jesus Bless you, trust Him, give your life - and He will take care of it :pray Convert yourself and believe in the Gospel - Romans 10 8-10 But what does it say? “The word is near you; it is in your mouth and in your heart,” that is, the message concerning faith that we proclaim: 9 If you declare  with your mouth, “Jesus is Lord,” and believe in your heart that God raised him from the dead, you will be saved. 10 For it is with your heart that you believe and are justified, and it is with your mouth that you profess your faith and are saved.♡.*<3"
"arch sword","Wait for the exodus of companies"
"Marta Bobrowska","AGENT ️ BOLEK WAŁĘSA  elektryk od żarówek  GDAŃSK POLAND 🇵🇱 kupił nową pralkę, Zaskoczona żona DANUSIA  pyta się BOLKA  ile wydałeś ? DUMNY BOLEK  mówi, wydałem TYLKO  STOCZNIOWCÓW"
"jeff strong","Current Philippines is great for rich locals but they are getting behind even to Vietnam.  Cambodia and Laos will eventually pass Philippines because it doesn't want to develop using foreign capital using it's anti foreign investment policy. Outsiders need 2/3 local ownership to start a business and foreigners can't get loans from local banks.  Rich Filipinos don't want to share their wealth with outsiders which means they are doing just fine without outsiders and want to maintain their wealth thus nothing changes in Philippines.  It's one of worst investment country for outsider."
"國松 陳","你們使用者好像大部份沒有來"
"Amir Mohammad Noor Mohammad","Please remember Afghanistan 🇦🇫."
"zombies","Ng ng ng ng ng ng ng ng ng"
"","Claim your “here within an hour” ticket here"
"Joni-V-","J  CON omics"
"느님못생겨ᄊ","... 김..흐선..에게..몬가..뜪벨..난ㄱㅔ..잇ㄸ..ㅏ..

... 푼똔..줘.. 
ㅊㅓ리..
쪼ㅁ..과하게.. 줘.. ㅂㅐ꽃..으,여대..엿으ㄴㅣ..  ㅂㅐ..입..싸구..여ㄷㅐ..정도 "
"StrangerThanFiction","Take heed to this Truth! Jesus Christ died for sinners including you, on the cross with his own blood for your personal sins, repent and get saved or perish with the lost wicked world. God's word is coming to pass, it will only go downhill.."
"Boss Tokmol","inflation rate Du30 behind"
"0H3353","What makes the Philippines really interesting is something like 9.5% of its GDP is personal cash transfers from overseas, that's extremely large for a relatively large economy. So inflation gets very strange when you mix in such a massive annual injection of foreign currency, especially foreign currencies that are themselves flooding the market with newly minted cash. Some economists smarter than I am will have some very interesting data to work/write within a few years."
"Ly","Let's give credit to OFWs and also the employees in the BPO sector for our economy. ️️"
"Sus Kagusip","I honestly admire our Bankers and Economists in the Philippines. They're very smart and genius. I remember in 2008 when the world's economy crashed. Philippines economy stay on top and was not affected. With Covid and the current inflation due to war in Ukraine I'm sure Philippines 🇵🇭 economy will stay afloat and do the same in the past. Credits to these Economists and Financial institutions of the country not to whoever the politicians in power."
"Apinez Stats","The Philippines' Central Bank Governor, Diokno, was actually named 'global central banker of the year' by “The Banker,” an international monthly banking, finance, and business magazine and online portal affiliated with the “Financial Times.”"
"Regina Hernandez","Despite the economic crises in the world today, it's easy  to get Rich and gain financial freedom. You just have to value INVESTING more than SPENDING. Talking from experience. I pray anyone who read this will be successful in life."
"Jogie Glen Mait","I was honestly pessimistic about our economy during the lockdowns. We being here still hanging on is amazing. Lakad matatag! "
"Zian Lim","This man has been carrying the whole philippine economy behind his back"
"FUJIWARA KATSUMI","In term of inflation the Philippines had good management compare to other ASEAN economy. Also having an increasing GDP even though at times of Covid that deserves thumbs up."
"lloydie channel","Even though we have Pandemic, our ofw help us a lot thats why our economy during pandemic is still on track, Hoping for a better future for my country"
"Madam Curry","4.3% inflation is probably ok for the country. Just keep increasing your agricultural supply locally. Do not keep on importing rather than exporting."
"Patrick Terminez","Working in agri/retail and inflation is felt by farmers and hog growers immensely. Hopefully it gets better but if the issue persist, hog raisers and farmers will be in a risky situation."
"Jhon Macra Imbana Jokora","Lesson learned: Announce rate hikes ahead so that company prices in sales won't jump over the place trying to predict the FED's move"
"Rikudou Ray","Big respect for this man."
"Pete de Leon","When countries print money to fund excessive expenditures, inflation happens. In the case of the Philippines, when it over-borrowed to fund public works projects, and the Central Bank loosening the local banks capital requirements, those two events flooded the market with cash with diminishing supply of goods and services."
"Hilly Easy","Thank God that a sincere public servant and apt Economist was there and denstined to manage our BSP when we needed it most. God Bless you more Governor Diokno."
"InfinitrixTV","Let's go Philippines 🇵🇭"
"Alderite","What Philippine needs is its own Production in Oil Industry and more Exploitation to Natural Gas since we are currently the highest in terms of these kind of resources. Build ""Data bank Internet headquarters"" in the Philippines so that we do not need to rely on Singapore and China anymore to reduce the amount of Latency, Modernize the Agricultural sector and invest more to Nuclear and Alternative energies such as Wind, Solar and Geothermal. "
"Mai Amelia","NICE VIDEO..... PLEASE HAVE INCURRED SO MUCH LOSSES TRADING ON MY OWN...I TRADE WELL ON DEMO BUT I THINK THE REAL MARKET IS MANIPULATED... CAN ANYONE HELP ME OUT OR AT LEAST TELL ME WHAT I'M DOING WRONG?"
"Jiah","Still unemployment rate and low minimum wage for provinces worries me and for future gens. Thats why a lot had to go abroad. Even in some cities the wages are average. In 2030 hyperinflation is something to worry about if we cant sustain our economy or lessen bills payments using another energy resource. And ik too many people not paying taxes, house land taxes..."
"John Burga","Skyrocketed Oil prices must be overlook by the Philippine government because it is the basic commodity of everything(Transportation up to powerplant). Inflated oil price can impact other products to inflate also. Before the Russia Ukraine War its like 40 pesos per liter of gasoline, but now its 78-80 pesos/liter"
"SenseOfLiving","I think all the efforts of the different players in the past and present has helped shape the economy. Now, add the  massive infrastructure undertaken recently  will only expand the economy more and will have a trickle down effect on adding more jobs!
Keep building the necessary infrastructure!!!"
"TheBlackwizardzeref","We all know that this man can deliver."
"Rod1892","The Inflation RATE and all inflation are removable in the books of both private and public sectors, as both sectors are designed to be fully compliant with TAXATION measures, designed to prevent LAUNDERING, FRAUD, COUNTERFEIT, and all FREE schemes of scrupulous Bogus ONLINE, work at home that does not comply with the measures of Registration or being registered. TAXES are not ENEMIES, they are CONSUMER PROTECTION POLICIES, Private and Public sectors attested."
"Alexander Chambord","Though iam not a fan of gloria arroyo, it is undeniable that her genius save the Philippines from an economic collapsed. She supported and iniatiated programs for a successful ofw economy and bpo industry, thus saving the philippines from a total meltdown economically. She is indeed one of the best economist in this country."
"John Three16","May God always guide us. May God look upon the Philippines with His mercy and love, in Jesus' name. May God allow this country to have a stronger relationship with Him through Jesus."
"Eric Encina","Being a Filipino Social Crediter/Monetary Reformer that debt finance and forex trading are some of the major causes of inflation, and in this particular case,  my opinion  on the situation  which is  very critically felt now  by most of us here in the Philippines, in the countryside that even loaves of bread are now expensive  particularly of the seemingly en route to deadly situation of the increasing prices of the basic needs and services, commodities (inflation) and the losing value of Philippine Peso (deflation) as skinning us  alive that may be  the 70% of the poor Filipinos in the countryside. This is going to be  a very serious financial turmoil soon if not prevented.  I believe this is not accidental but indeed intentional or premeditated by those responsible. Who are responsible for the present inflation?"
"Carlo Aguilar","watching this makes me think how difficult it is to be a governor of the central bank 

watching this makes me dizzy "
"Paul danne Lachica","Philippines should focus on alternative energy like nuclear solar and wind for geothermal"
"Dominique paqueo","I really admire this person and hopefully the plans of the government will go well especially that he is now in charge of the dof."
"Jaime Santillan","What i want to hear is how you balance inflation rate and high interest rate because these two are working in opposite direction."
"Da Gre","The comment section is brilliant!! It's the only place I can find out raw information and views about the economy,in order to make personal decisions."
"machester edt.","This man is just pure GENIUS"
"Liberal Party","Kudos sir benjamin diokno!!! "
"mark rey","Galing lang talaga ni sir diokno and to his office,,,,,managing a financial system that is prone to inflation and manage to keep the economy strong despite.........congrats to President Duterte on a well appointed man and a well manage banking/financial plan this past 6years"
"Matt Stephen Tabamo","Were actually doing good as a developing country."
"Sug_madic","Philippines Gdp growth rate in q1 2022 is 6.5%-7.0%"
"Samuel Jay Rivera","You should thank the large group of OFW’s sending money to the Philippines."
"Lenneth Cruz","One of the best cabinet member of President Duterte.. SALUTE to this man"
"James","Yea.  It exceeds the growth index.  So we are still in a downward spiral."
"G D","His goal is to help usher in the great reset and use the central banks centralized digital currency. He will inflict a lot of suffering and pain on the Filipinos to have the philippine people to cry “uncle” to receive the centralized digital currency mandated by the Federal Reserve. Unless the RP joins the BRIC countries."
"TIGERS OF THE SOUTH FEDERAL STATES OF PHILIPPINES","GOD BE WITH US.......IS TIME TO RISE THE PHILIPPINES.........GOD BLESS U ALL........."
"Dante Barrientos","Our economy is backed by dollars…dollars remittance from ofws….kaya kahit medyo hirap sa pinas..ang tao tumatanggap ng remittances and ofws returning have a purchasing power kaya nagroroll pa rin ang economy sa pilipinas"
"HS LIBRARY","In every seconds of food you delivered to the nation who are hard hit of phenomena, every mouth you delivered is very important factors of development."
"Love of my Life","inflation is low because we have BPO's. without these heroes our inflation could be much higher. in fact, we don't even have ayuda as if we are not paying higher taxes than the rest since BPO's have above minimum wages. paradox right?"
"archer65","there are so many bright minded in the PH gov't. but corruption is pandemic, if only they would care more for the people rather than prioritizing on enriching themselves."
"DRAGON. from India","GOLD AND SILVER ARE SAFE INVESTMENT THAN CRYPTO OR OTHER COUNTRIES CURRENCYS..PAPER AND CRYPTO CURRENCY CAN BE MANIPULATED.METALS ARE ESSENTIAL TO EVERY COUNTRY ECONOMY..."
"bullbae02","if thats your measuring stick then the situation could be a lot worse... you have to consider that statement includes the countries that have low and high inflation which actually gives us no useful information. are we getting better? or is it much worse than before?"
"gastromacho2","Different but just the same...on the ground prices have skyrocketed ....fuel, transport cost, basic food....  It s a mess"
"magenelyn javieno","Need mga pinoy or ofw magkaroon ng strategy aangkat tyo ng ibinta sa mga investors sa tin din lahat ng mga pinoy sa atin bibili ng sa ganun iikot ang income nito di yong mga other races lang na investors ang mag income sa kita natin ..ng sa ganun na way ma hold natin ang ibang kita mag hahati ito sa kabuuan kasi sila ang suplier din tyo magbibinta so means hati sa income yan at mahold natin ang mga pera or kitA nito kahit half man lang ay ma remain sa bansa natin at di nila madala lahat sa bansa nila dapat tangkilikin ang mga pinoy na magtinda kahit pasimple lang ito ng sa ganun di mahila lahat ang pera natin palabas ng bansa natin ang result is sharing..God bless"
"Zeon Philia","Government should change the Presidential term from 6 to 10 years (duration). It will help the candidates and the country to save money and focus on economics and projects."
"DaDiYlandPH","He knows what the Philippines hold. So dont worry"
"Marc Cap","Give credits to all the OFW, the remittance is also one of the biggest factors that is why the economy is still stable. And of course, we have a good President Duterte with good governance."
"LAST OUTRIDER","Inflation is different but not for those reasons. 
  The Philippines does not need to raise interest because they can lock the price of essential commodities. Rice, cooking oil, instant noodles, beer and the salary of a domestic helper will not rise at all."
"Grant Asilom","His back must hurt for carrying Philippine's economy behind his back."
"Harky","Truth is what makes the Philippine inflation different from other countries is that for most of us here that can barely eat three times a day, with the current  inflation a  single meal a day is all that we can have, we can never expect to have a second meal."
"centjun turion","Bad Omens or God omens?
Normal lang po ba ang mga ito?
1. First day of service - nagkaroon ng napakalakas na lindol sa north with matching two corculations of air."
"Reason","As a Filipino I never felt this global inflation thing. Maybe the gas prices is noticeable but I don't own a car"
"Youtube Patrol","During the time of FERDINAND MARCOS, he set up an Oil Price Stabilization Fund with a fund of 20billion dollars and the Filipinos really benefited even though oil was expensive in the Middle East. since cory sat in malacañang and was kidnapped and tried to take over the presidency, we don't know where that 20billion dollars fund went or was taken. so now the size of the effect of the price of oil on the Filipinos."
"Red Butterfly","Inflation is inflation and u dont need to compare phillippines to european or u.s because its completely diffrent economy so dont think too high and assuming. Each countries may have diffrent causes of inflation but its still have negative effects"
"Austin Byrd","Cheap credit misallocates resources to undemanded/lesser demanded ventures, increases the present consumption & acquisition of goods, distorts our time preference, creates a dependency on continuous overvaluations, & distorts price signals (because of relative price stickiness, unequal velocity within different sectors, & circular demand within scarce demanded goods [assets]). Speculation increases as lesser educated consumers spend & borrow. They have not went through the thorough process of elimination that normally happens in the free market. "
"Tubianosa, Eleazar Rae G. 2C-ICHEM","You know what, Philippines should focus on education. After reading the comments, I know that the Philippines needs more educated people."
"steven jabs","Thank you President Duterte for managing the Philippine economy very well, you are indeed the best President of the Philippines."
"Frappes_","The Philippines needs an economist as President with knowledge of the law as an attorney. That person is none other than Leni Gerona Robredo, who has a degree in both fields. She will work fantastically well with Gov Diokno"
"Lem Nabaw","I feel you, sir."
"edilon liwag","What is special then in the philippines that differs it from other countries in terms of inflation rate?"
"Erick Ompad","Sayang talaga, ang ganda ng takbo ng ekonomiya ng Pilipinas bago mag COVID. siguro mas malayo narating natin ngayon kung hindi nagkapandemic"
"edilon liwag","If what you are saying is true that our inflation rate is different from other countries, then why do you need to hike interest rates?"
"BravoCoy","OFW helps the Philippines a lot"
"Rolando Soliman","it’s not the people in Philippine government are smart, it’s the remittances of OFW that helping the Philippine economy."
"Kier Mailan","We need this man in Canada we're screwed here."
"yeshuasclay","One of the brightest mind of Duterte cabinet"
"Gol D. Roger","Relying on overseas remittances are the most ashamed policies of the Philippines.

Leaders are just incompetent to create jobs and only rely on modern-day slave policy."
"Anacleto Cazar","Government should take on hoardings of products from suppliers , ASAP because this creates artificial 
shortages of supplies 
rice , sugar , flour and commodities"
"Cat breaks with Jana","the inflation in the Philippines is because we earn and depend on the dollar"
"KenKen","Wages don't go up in the Philippines haha people just take the burden but also even a small amount of inflation absolutely hurts when people are making pennies"
"Cyrus John Arnaiz","Our economy is restricted. Just erase the restrictions."
"oliver","That target will surely be revised. US still in QE mode."
"Joshua Lame","When you're name is Benjamin and you work in central bank. You already know how he runs the place "
"Robert Solidum","BPO pips and Our OFW are the real deal for our economy! Let's thank them"
"AngOng","Different baskets. Unlikely to reflect the needs of the lower strata of society."
"Grace Jones GJ","No printing of money that can cause inflation."
"Raymond Sta. Romana","It's because alot of ofw and seafarers  are lost their job during pandemic"
